,Date,Town,State/Province,Latitude,Longitude,Number
1,03/22/08,Coal City,IL,41.3,-88.3,2
2,03/17/08,Texas City,TX,29.4,-94.9,1
3,03/12/08,Katy,TX,29.8,-95.7,1
4,03/05/08,N Volusia County,FL,29.4,-81.1,1
5,03/05/08,Ormond Beach,FL,29.3,-81.2,1
6,03/02/08,Eastwood,SC,32.7,-79.9,1
7,03/02/08,Houston,TX,29.8,-95.4,1
8,02/26/08,Edisto Island,SC,32.6,-80.3,1
9,02/26/08,Wesley Chapel,FL,28.2,-82.3,1
10,02/25/08,James Island,SC,32.7,-80,1
11,02/23/08,Patriot’s Point,SC,32.8,-79.9,1
12,02/23/08,Astor,FL,29.2,-81.6,1
13,02/22/08,Fort Johnson,SC,32.7,-79.9,1
14,02/20/08,Cypress,TX,30,-95.7,1
15,02/20/08,St. Marks Wildlife Refuge,FL,30.5,-84.3,1
16,02/20/08,Tallahassee,FL,30.4,-84.3,1
17,02/20/08,New Orleans,LA,30,-90.1,1
18,02/18/08,Punta Gorda,FL,27,-82.2,1
19,02/18/08,Fort Myers,FL,26.6,-81.9,1
20,02/17/08,Sarasota,FL,27.3,-82.5,1
21,02/16/08,Atascocita,TX,30,-95.2,1
22,02/14/08,Port Lavaca,TX,28.5,-96.7,1
23,02/12/08,Palm Coast,FL,29.5,-81.2,1
24,02/12/08,Houston,TX,29.8,-95.4,1
25,02/11/08,ST PETERSBURG,FL,27.8,-82.6,1
26,02/10/08,El Mulato,DUR,25.3,-103.7,1
27,02/09/08,Weslaco,TX,26.2,-98,1
28,02/09/08,benbrook,TX,32.6,-97.5,1
29,02/09/08,Katy,TX,29.8,-95.7,1
30,02/08/08,Mission,TX,26.3,-98.4,1
31,02/08/08,Hunting Is. State Park,SC,32.4,-80.5,1
32,02/06/08,jupiter,FL,26.9,-80.1,1
33,02/05/08,Port Lavaca,TX,28.5,-96.7,1
34,02/03/08,Diamondhead,MS,30.4,-89.4,1
35,01/29/08,ST PETERSBURG,FL,27.8,-82.6,1
36,01/25/08,Houston,TX,29.8,-95.4,1
37,01/23/08,Houston,TX,29.8,-95.4,1
38,01/18/08,Tarpon Springs,FL,28.1,-82.7,1
39,01/16/08,Jordan,NY,43.1,-76.5,1
40,01/15/08,MELBOURNE,FL,28.1,-80.6,1
41,01/15/08,rossmoor,CA,33.8,-118.1,1
42,01/09/08,Austin,TX,30.2,-97.7,1
43,01/05/08,Houston,TX,29.8,-95.4,1
44,01/02/08,Sullivan's Island,SC,32.8,-79.8,1
45,01/02/08,Folly Beach,SC,32.7,-79.9,1
46,01/01/08,Playa Encanto,SON,31.3,-113.4,1
47,01/01/08,Sierra Chincua Sanctuary,MIC,19.7,-100.3,1
48,01/01/08,El Rosario,MIC,19.6,-100.3,1
