,Date,Town,State/Province,Latitude,Longitude,Number
1,07/28/97,Stillwater,MN,45.1,-92.8,1
2,07/14/97,Marquette,MI,46.5,-87.4,1
3,07/11/97,Nairn,ON,46.3,-81.6,1
4,07/10/97,Perkins,QC,45.7,-76.3,1
5,07/04/97,Rouses Point,NY,45,-73.4,1
6,07/02/97,Ottawa,ON,45.5,-75.7,1
7,07/01/97,Midland,MI,43.6,-84.3,1
8,06/29/97,Lanark,ON,45,-76.4,1
9,06/29/97,Maitland,ON,44.3,-75.8,1
10,06/28/97,Montreal,QC,45.5,-73.7,1
11,06/27/97,Willowick,OH,41.7,-81.4,1
12,06/26/97,Ortonville,MI,42.8,-83.4,1
13,06/25/97,Rochester,NY,43.2,-77.6,1
14,06/25/97,Grand Rapids,MI,43,-85.7,1
15,06/24/97,Blaine Lake,SK,52.8,-106.9,1
16,06/24/97,Saskatoon,SK,50.5,-107,1
17,06/24/97,Rosthern,SK,52.6,-106.4,1
18,06/23/97,Centerville,OH,39.6,-84.2,1
19,06/23/97,Elliot Lake,ON,46.4,-82.6,1
20,06/23/97,Presqu,ON,44,-77.7,1
21,06/23/97,Mississauga,ON,43.6,-79.2,1
22,06/23/97,Guys Mills,PA,41.6,-80,1
23,06/22/97,Damariscotta,ME,44,-69.5,1
24,06/22/97,Tamworth,ON,44.5,-77,1
25,06/22/97,Iron Bridge,ON,46.3,-83.2,1
26,06/21/97,Waconia,MN,44.9,-93.8,1
27,06/21/97,St. Catharines,ON,43.3,-79.4,1
28,06/21/97,Mont-Laurier,QC,46.6,-75.5,1
29,06/21/97,Kingston,NH,42.9,-71.1,1
30,06/21/97,Glen Robertson,ON,45.3,-74.5,1
31,06/20/97,Grand Forks,ND,47.9,-97.1,1
32,06/19/97,Pequot Lakes,MN,46.7,-94.2,1
33,06/19/97,Port Mouton,NS,43.9,-64.9,1
34,06/17/97,Blind River,ON,46.3,-83,1
35,06/17/97,Bronte Creek Prov. Park,ON,43.4,-79.8,1
36,06/16/97,Victoria,MN,44.9,-93.7,1
37,06/16/97,Wayzata,MN,45,-93.5,1
38,06/16/97,Rootstown,OH,41.1,-81.2,1
39,06/16/97,Minneapolis,MN,45,-93.3,1
40,06/15/97,MPLS,MN,44.9,-93.3,1
41,06/15/97,Rosthern,SK,52.7,-106.3,1
42,06/15/97,Fairmont,MN,43.6,-94.4,1
43,06/15/97,Granby,QC,45.5,-72.8,1
44,06/15/97,Boyceville,WI,45.1,-92,1
45,06/15/97,St-Georges de Napierville,QC,45.2,-73.2,1
46,06/15/97,Zion,IL,42.5,-87.8,1
47,06/12/97,Coleraine,MN,47.3,-93.4,1
48,06/12/97,Winnipeg,MB,49.9,-97.1,1
49,06/12/97,Terre Haute,IN,39.4,-87.4,1
50,06/11/97,framingham,MA,42.2,-71.3,1
51,06/11/97,Door County,WI,45.2,-87.1,1
52,06/11/97,Winnipeg,MB,49.9,-97.1,1
53,06/10/97,Pittsburgh,PA,40.5,-80,1
54,06/10/97,Pinawa,MB,50.2,-96,1
55,06/09/97,Victoria,MN,44.9,-93.7,1
56,06/07/97,Wiarton,ON,46.1,-83.9,1
57,06/05/97,Brighton,ON,43.7,-79.4,1
58,06/04/97,Bancroft,ON,45,-77.8,1
59,06/04/97,Palmyra,WI,42.9,-88.6,1
60,06/04/97,Madoc,ON,44.5,-77.5,1
61,06/04/97,Presqu'ile Park Area,ON,43.9,-88.5,1
62,06/04/97,Antioch,IL,42.5,-88.1,1
63,06/03/97,Des Moines,IA,41.6,-93.6,1
64,06/03/97,Peninsula Point,MI,45.7,-86.9,1
65,06/01/97,Beloit,WI,42.5,-89.1,1
66,06/01/97,St. Louis Park,MN,44.9,-93.4,1
