,Date,Town,State/Province,Latitude,Longitude,Number
1,07/17/09,Gladstone,MO,39.2,-94.5,2
2,07/17/09,Gladstone,MO,39.2,-94.5,2
3,07/15/09,Canton,NY,44.6,-75.2,1
4,06/25/09,eau claire,WI,44.7,-91.5,1
5,03/17/09,Kingfisher,OK,35.9,-97.9,1
6,03/17/09,Cedar Rapids,IA,42,-91.7,2
7,03/12/09,Houston,TX,29.8,-95.4,1
8,03/10/09,Houston,TX,29.8,-95.4,1
9,03/08/09,Austin,TX,30.2,-97.7,1
10,02/23/09,Coral Springs,FL,26.3,-80.3,1
11,02/23/09,Atascocita,TX,30,-95.2,1
12,02/22/09,Silver City,NM,32.8,-108.3,1
13,02/21/09,Phoenix,AZ,33.5,-112.1,1
14,02/20/09,Cerro Pelon,MIC,19.4,-100.2,1
15,02/19/09,Sierra Chincua Sanctuary,MIC,19.7,-100.3,1
16,02/16/09,Hollywood,FL,26,-80.1,1
17,02/15/09,Cypress,TX,30,-95.7,1
18,02/15/09,Punta Gorda,FL,27,-82.2,1
19,02/12/09,Savannah,GA,32.1,-81.1,1
20,02/11/09,Houston,TX,29.8,-95.4,1
21,02/11/09,Corpus Christi,TX,27.8,-97.4,1
22,02/11/09,Fort Walton Beach,FL,30.4,-86.6,1
23,02/11/09,Metairie,LA,30,-90.2,1
24,02/10/09,oldsmar,FL,28.1,-82.7,1
25,02/10/09,Missouri City,TX,29.5,-95.5,1
26,02/10/09,Seabrook,TX,29.6,-95,1
27,02/09/09,Houston,TX,29.8,-95.4,1
28,02/09/09,Naples,FL,26.1,-81.8,1
29,02/09/09,League City,TX,29.5,-95.1,1
30,02/09/09,Saint Marks,FL,30.2,-84.2,1
31,02/09/09,Panacea,FL,30,-84.4,1
32,02/09/09,Carrabelle,FL,29.9,-84.7,1
33,02/09/09,Katy,TX,29.8,-95.7,1
34,02/09/09,Houston,TX,29.8,-95.4,1
35,02/09/09,Port Saint Lucie,FL,27.3,-80.3,1
36,02/09/09,League City,TX,29.5,-95.1,1
37,02/08/09,New Port Richey,FL,28.1,-82.7,1
38,02/08/09,Port Charlotte,FL,27,-82.2,1
39,02/08/09,saint petersburg,FL,27.8,-82.6,1
40,02/08/09,St. Petersburg,FL,27.8,-82.6,1
41,02/07/09,Palm Harbor,FL,28.1,-82.8,1
42,02/07/09,Leander,TX,30.6,-97.9,1
43,02/07/09,Houston,TX,29.8,-95.4,1
44,02/07/09,Sanford,FL,28.8,-81.3,1
45,02/07/09,Deltona,FL,28.9,-81.3,1
46,02/07/09,Lighthouse Point,FL,26.3,-80.1,1
47,02/07/09,Coral Springs,FL,26.3,-80.3,1
48,02/06/09,St. Marks National Wildlife Refuge,FL,30.1,-84.2,1
49,02/06/09,Clearwater,FL,28,-82.8,1
50,02/06/09,Moreno Valley,CA,33.9,-117.2,1
51,02/06/09,New Orleans,LA,30,-90.1,1
52,02/05/09,Baton Rouge,LA,30.4,-91.2,1
53,02/05/09,Coconut  Grove,FL,25.7,-80.2,1
54,02/05/09,New Orleans,LA,30,-90.1,1
55,02/03/09,Tampa,FL,28,-82.5,1
56,02/02/09,Houston,TX,29.8,-95.4,1
57,02/02/09,Victoria,TX,28.8,-97,1
58,02/01/09,Orlando,FL,28.5,-81.4,1
59,01/30/09,Saint Petersburg,FL,27.8,-82.6,1
60,01/28/09,Lakeland,FL,28,-81.9,1
61,01/28/09,La Porte,TX,29.7,-95,1
62,01/25/09,weslaco,TX,26.2,-98,1
63,01/18/09,Houston,TX,29.8,-95.4,1
64,01/17/09,Muir Woods,CA,37.9,-122.6,1
65,01/15/09,Trinity,FL,28.2,-82.7,1
66,01/15/09,MELBOURNE,FL,28.1,-80.6,1
67,01/15/09,W Melbourne,FL,28.1,-80.7,1
68,01/15/09,Houston,TX,29.8,-95.4,1
69,01/12/09,Pismo Beach,CA,35.2,-120.7,1
70,01/12/09,Jacksonville,FL,30.3,-81.8,1
71,01/09/09,Atascocita,TX,30,-95.2,1
72,01/08/09,Baton Rouge,LA,30.4,-91.2,1
73,01/05/09,Charleston,SC,32.8,-79.9,1
74,01/02/09,Rancho Mirage,CA,33.8,-116.4,1
75,01/02/09,Big Sur,CA,36.2,-121.6,1
76,01/02/09,San Luis Obispo,CA,35.2,-120.6,1
77,01/01/09,Los Osos,CA,35.3,-120.8,1
78,01/01/09,El Rosario Sanctuary,MIC,19.6,-100.3,1
79,01/01/09,Doheny State Beach,CA,33.5,-117.7,1
80,01/01/09,Huntington Beach,CA,33.7,-118,1
81,01/01/09,Leo Carrillo State Beach,CA,34,-118.9,1
82,01/01/09,Big Sycamore Canyon,CA,34.1,-119,1
83,01/01/09,San Buenaventura,CA,34.3,-119.3,1
84,01/01/09,Carpinteria State Beach,CA,34.4,-119.5,1
85,01/01/09,Houston,TX,29.8,-95.4,1
86,01/01/09,Goleta,CA,34.4,-119.9,1
87,01/01/09,Montana de Oro State Park,CA,35.3,-120.9,1
88,01/01/09,Sierra Chincua Sanctuary,MIC,19.7,-100.3,1
89,01/01/09,Morro Bay,CA,35.4,-120.8,1
90,01/01/09,San Simeon,CA,35.7,-121.1,1
91,01/01/09,Plaskett Creek,CA,35.9,-121.5,1
92,01/01/09,Big Sur,CA,36.2,-121.6,1
93,01/01/09,Point Lobos,CA,36.5,-121.9,1
94,01/01/09,Point Mugu SP,CA,34.1,-119,1
95,01/01/09,Andrew Molera State Park,CA,36.3,-121.8,1
96,01/01/09,Pacific Grove,CA,36.6,-121.9,1
97,01/01/09,Santa Cruz,CA,37.1,-122.2,1
98,01/01/09,Santa Barbara,CA,34.4,-119.7,1
99,01/01/09,Moreno Valley,CA,33.9,-117.2,1
