,Date,Town,State/Province,Latitude,Longitude,Number
1,07/28/12,Springerville,AZ,34.2,-109.4,1
2,07/26/12,Chandler,AZ,33.3,-111.9,1
3,07/26/12,Newport News,VA,37.1,-76.5,1
4,07/25/12,Lakeville,NY,42.8,-77.7,2
5,07/23/12,Pine,AZ,34.4,-111.4,1
6,07/23/12,Manchester Township,NJ,39.9,-74.3,1
7,07/15/12,Conestoga,PA,39.9,-76.4,15
8,07/05/12,Atlanta,GA,33.8,-84.3,1
9,07/01/12,Franklin,NY,42.3,-75.1,1
10,06/30/12,Caledonia,NS,46.2,-60,1
11,06/30/12,Menomonie,WI,44.7,-91.9,1
12,06/18/12,McTaggart,SK,49.7,-104,3
13,05/18/12,Crawfordville,FL,30.2,-84.4,5
14,05/08/12,Chicago,IL,41.9,-87.6,1
15,03/21/12,Pinellas Park,FL,27.8,-82.7,1
16,03/19/12,Lakeland,FL,28,-81.9,1
17,03/18/12,Crawfordville,FL,30.2,-84.4,2
18,03/16/12,New Orleans,LA,30,-90.1,1
19,03/15/12,Fort Myers,FL,26.6,-81.9,1
20,03/10/12,"San Antonio, Texas, USA 78209",TX,29.7,-98.6,1
21,03/03/12,The Woodlands,TX,30.2,-95.5,1
22,03/03/12,Houston,TX,29.8,-95.4,1
23,03/03/12,"San Antonio, Texas, USA 78209",TX,29.7,-98.6,1
24,03/02/12,Diamond Bar,CA,34,-117.8,1
25,03/01/12,corpus christi,TX,27.8,-97.4,1
26,02/27/12,Jersey Village,TX,29.9,-95.6,1
27,02/26/12,"San Antonio, Texas, USA 78209",TX,29.7,-98.6,1
28,02/26/12,Sebastian,FL,27.8,-80.5,1
29,02/25/12,"San Antonio, Texas, USA 78209",TX,29.7,-98.6,1
30,02/25/12,Bagaces,Guanacaste Province,10.4,-85.4,1
31,02/24/12,M̩xico D.F.,CMX,19.4,-99.1,1
32,02/24/12,Tarpon Springs,FL,28.1,-82.7,1
33,02/21/12,Sugar Land,TX,29.6,-95.6,1
34,02/18/12,Fountain Hills,AZ,33.6,-111.7,1
35,02/18/12,Superior,AZ,33.3,-111.2,1
36,02/18/12,Port Charlotte,FL,27,-82.1,1
