,Date,Town,State/Province,Latitude,Longitude,Number
1,03/05/04,North Port,FL,27.1,-82.2,1
2,03/02/04,Mission,TX,26.3,-98.4,1
3,03/02/04,Port O Connor,TX,28.1,-96.8,1
4,03/01/04,Rockport,TX,28.2,-97,1
5,03/01/04,New Orleans,LA,30,-90.1,1
6,03/01/04,Gulf Breeze,FL,30.4,-87.1,1
7,02/29/04,Tiki Island,TX,29.5,-95.2,1
8,02/26/04,Cypress,TX,30,-95.7,1
9,02/22/04,St Marks,FL,30.2,-84.2,1
10,02/21/04,Dickinson,TX,29.5,-95,1
11,02/19/04,Cypress,TX,30,-95.7,1
12,02/18/04,Rotonda,FL,26.9,-82.3,1
13,02/18/04,Popocat̩petl,PUE,19,-98.6,1
14,02/17/04,Mission,TX,26.3,-98.4,1
15,02/07/04,Houston,TX,29.8,-95.4,1
16,02/01/04,Port Lavaca,TX,28.5,-96.7,1
17,02/01/04,Saltillo,COA,25.4,-101,1
18,02/01/04,Santa Barbara,CA,34.4,-119.7,1
19,01/28/04,Gulf Breeze,FL,30.4,-87.1,1
20,01/25/04,Port St. Joe,FL,29.8,-85.3,1
21,01/20/04,Ponte Vedra Beach,FL,30.2,-81.4,1
22,01/20/04,Panama City,FL,30.2,-85.6,1
23,01/14/04,Cypress,TX,30,-95.7,1
24,01/08/04,Humble,TX,30,-95.2,1
25,01/07/04,Marina del Rey,CA,34,-118.4,1
26,01/01/04,Angangueo,MIC,19.6,-100.3,1
27,01/01/04,Spring Valley,TX,29.8,-95.5,1
28,01/01/04,Pearland,TX,29.6,-95.3,1
29,01/01/04,Leander,TX,30.6,-97.9,1
