,Date,Town,State/Province,Latitude,Longitude,Number
1,07/31/11,Sidney,ME,44.4,-69.7,1
2,07/31/11,Virginia Beach,VA,36.8,-76.2,1
3,07/29/11,Spring Valley,WI,44.9,-92.2,1
4,07/23/11,Bridgetown,NS,44.9,-65.3,1
5,07/22/11,Questa,NM,36.7,-105.5,1
6,07/20/11,Coram,NY,40.9,-73,1
7,07/11/11,Edgecomb,ME,44,-69.6,2
8,07/11/11,Fort Edgecomb State Park,ME,44.1,-69.1,2
9,05/15/11,Buena Park,CA,33.8,-118,1
10,04/15/11,Radium Springs,NM,32.6,-107.1,3
11,04/07/11,Keauhou Bay,HI,19.6,-156,1
12,04/02/11,Savannah,GA,31.9,-81,1
13,03/18/11,San Luis Obispo,CA,35.2,-120.6,1
14,03/12/11,Monterey,CA,36.6,-121.8,1
15,03/12/11,San Luis Obispo,CA,35.2,-120.6,1
16,03/10/11,Phoenix,AZ,33.5,-112.1,1
17,03/05/11,Thonotosassa,FL,28.1,-82.3,1
18,03/05/11,Monterey,CA,36.6,-121.8,1
19,03/02/11,delray beach,FL,26.5,-80.1,1
20,03/02/11,Ventura,CA,34.3,-119.3,1
21,03/01/11,San Luis Obispo,CA,35.2,-120.6,1
22,02/28/11,Seabrook,TX,29.6,-95,1
23,02/28/11,Ft Myers,FL,26.5,-81.8,1
24,02/27/11,San Antonio,TX,29.5,-98.5,1
25,02/25/11,Lamar,TX,28.1,-97,1
26,02/25/11,Weslaco,TX,26.2,-98,1
27,02/25/11,Monterey,CA,36.6,-121.8,1
28,02/23/11,milton,FL,30.8,-87,1
29,02/23/11,NORTH PADRE ISLAND,TX,26.8,-97.4,1
30,02/22/11,Eglin Air Force Base,FL,30.6,-86.5,1
31,02/20/11,Sarasota,FL,27.3,-82.5,1
32,02/20/11,Isle of Palms,SC,32.8,-79.8,1
33,02/20/11,Monterey,CA,36.6,-121.8,1
34,02/19/11,Leesburg,FL,28.8,-81.9,1
35,02/18/11,Charleston,SC,32.8,-79.9,1
36,02/16/11,Fairhope,AL,30.4,-87.8,1
37,02/16/11,San Luis Obispo,CA,35.2,-120.6,1
38,02/15/11,Ventura,CA,34.3,-119.3,1
39,02/15/11,Monterey,CA,36.6,-121.8,1
40,02/09/11,Useppa Island,FL,26.7,-82.2,1
41,02/09/11,Kenner,LA,30,-90.3,1
42,02/09/11,Yorba Linda,CA,33.9,-117.8,1
43,02/08/11,Houston,TX,29.8,-95.4,1
44,02/07/11,Seabrook,TX,29.6,-95,1
45,02/07/11,Phoenix,AZ,33.5,-112.1,1
46,02/07/11,Santa Monica,CA,34,-118.5,1
47,02/07/11,Monterey,CA,36.6,-121.8,1
48,02/07/11,Phoenix,AZ,33.5,-112.1,1
