,Date,Town,State/Province,Latitude,Longitude,Number
1,07/31/16,Birmingham,MI,42.5,-83.2,7
2,07/31/16,Antioch,IL,42.5,-88,1
3,07/31/16,Fort Collins,CO,40.6,-105.1,1
4,07/31/16,St. Louis,MO,38.8,-90.1,5
5,07/31/16,Saint Paul,MN,44.9,-93.2,2
6,07/31/16,Saint Paul,MN,45,-93.1,3
7,07/31/16,Freeport,ME,43.8,-70.1,1
8,07/31/16,Bluffdale,UT,40.5,-111.9,3
9,07/31/16,Hackensack,NJ,40.9,-74,1
10,07/31/16,Mill Valley,CA,37.9,-122.5,1
11,07/31/16,Eagleswood,NJ,39.6,-74.3,2
12,07/31/16,Washington,IL,40.7,-89.4,1
13,07/31/16,Waukesha,WI,43,-88.3,2
14,07/31/16,Logan,UT,41.7,-111.9,1
15,07/31/16,Logan,UT,41.8,-111.9,1
16,07/31/16,Franklin Park,IL,41.9,-87.9,2
17,07/31/16,Randolph,VT,43.9,-72.6,1
18,07/31/16,Kodak,TN,35.9,-83.7,1
19,07/31/16,Cannonsburg,MI,43.1,-85.5,1
20,07/31/16,Stillwater,OK,36.2,-97,1
21,07/31/16,Savannah,NY,43,-76.7,1
22,07/31/16,Indianapolis,IN,39.8,-86.2,1
23,07/31/16,Topeka,KS,39,-95.6,1
24,07/31/16,Zion,IL,42.5,-87.9,1
25,07/31/16,Holiday Hills,IL,42.3,-88.2,1
26,07/31/16,Normal,IL,40.5,-89,1
27,07/31/16,Liberty,IN,39.6,-84.9,1
28,07/31/16,Columbus,OH,40,-83,1
29,07/31/16,Uniontown,PA,39.9,-79.7,1
30,07/31/16,Savage,MN,44.8,-93.4,1
31,07/31/16,Denison,TX,33.7,-96.5,1
32,07/31/16,Oakland,IA,41.3,-95.4,2
33,07/31/16,Bellevue,NE,41.2,-95.9,4
34,07/31/16,Chana,IL,42,-89.2,1
35,07/31/16,Browns Mills,NJ,40,-74.6,1
36,07/31/16,Findlay,OH,41,-83.6,1
37,07/31/16,London,OH,39.9,-83.4,1
38,07/31/16,Blue Hill,ME,44.4,-68.6,1
39,07/31/16,Ruckersville,VA,38.2,-78.4,3
40,07/31/16,Harpswell,ME,43.8,-70,1
41,07/31/16,Allenton,WI,43.4,-88.4,2
42,07/31/16,Canton,NY,44.6,-75.2,1
43,07/31/16,Riverton,MB,51,-96.9,1
44,07/31/16,Stanardsville,VA,38.4,-78.5,3
45,07/31/16,Ballwin,MO,38.6,-90.6,1
46,07/31/16,Franklin,MA,42.1,-71.4,1
47,07/31/16,Lock Haven,PA,41.1,-77.4,2
48,07/31/16,Chicago,IL,42,-87.8,1
49,07/31/16,Vergas,MN,46.6,-95.9,2
50,07/31/16,Macdoel,CA,41.8,-122.2,1
51,07/31/16,Barrington,IL,42.1,-88.2,3
52,07/31/16,Shakopee,MN,44.8,-93.5,1
53,07/31/16,Chaska,MN,44.9,-93.6,1
54,07/31/16,Lincoln,VT,44.1,-73,2
55,07/31/16,Mundelein,IL,42.3,-88,1
56,07/31/16,Lovettsville,VA,39.3,-77.6,1
57,07/31/16,Garland,ME,45.1,-69.1,1
58,07/31/16,Lawrence,KS,39,-95.2,1
59,07/31/16,Grand Junction,CO,39.1,-108.6,2
60,07/31/16,Lawrence,KS,39,-95.2,1
61,07/31/16,Cambridge,WI,43,-89,1
62,07/31/16,Show Low,AZ,34.3,-110,1
63,07/30/16,Springfield,VA,38.8,-77.2,1
64,07/30/16,New Brighton,MN,45,-93.2,3
65,07/30/16,Colora,MD,39.7,-76.1,1
66,07/30/16,Wheeler NWR,AL,34.6,-86.8,1
67,07/30/16,Mansfield,NY,42.3,-78.8,2
68,07/30/16,Tulsa,OK,36.1,-95.9,1
69,07/30/16,Minneapolis,MN,45,-93.2,1
70,07/30/16,Austin,TX,30.3,-97.7,5
71,07/30/16,Ottawa,ON,45.4,-75.7,1
72,07/30/16,Petaluma,CA,38.2,-122.6,1
73,07/30/16,Pacific,MO,38.4,-90.7,1
74,07/30/16,Pacific,MO,38.4,-90.7,1
75,07/30/16,Wells,ME,43.3,-70.6,2
76,07/30/16,San Antonio,TX,29.5,-98.5,3
77,07/30/16,Dummer,NH,44.6,-71.2,1
78,07/30/16,Freeport,ME,43.8,-70.1,3
79,07/30/16,Lyndhurst,NJ,40.8,-74.1,2
80,07/30/16,Greenwood,IN,39.6,-86.2,1
81,07/30/16,Saint Catharines,ON,43.2,-79.2,1
82,07/30/16,Rockbridge,OH,39.6,-82.5,1
83,07/30/16,Wyalusing,PA,41.7,-76.2,2
84,07/30/16,Woodland,CA,38.7,-121.9,1
85,07/30/16,Freeland,MD,39.7,-76.7,2
86,07/30/16,Cedarville,CA,41.5,-120.2,1
87,07/30/16,Athens,ON,44.6,-75.9,2
88,07/30/16,Lyndhurst,NJ,40.8,-74.1,1
89,07/30/16,Arvada,CO,39.8,-105.2,1
90,07/30/16,Wheat Ridge,CO,39.8,-105.1,1
91,07/30/16,Grosse Pointe,MI,42.4,-82.9,1
92,07/30/16,Townsend,TN,35.6,-83.8,1
93,07/30/16,Medfield,MA,42.2,-71.3,1
94,07/30/16,Wayne,IL,42,-88.2,3
95,07/30/16,Chana,IL,42,-89.2,1
96,07/30/16,Pipersville,PA,40.4,-75.1,1
97,07/30/16,North Aurora,IL,41.8,-88.3,2
98,07/30/16,Mar,ON,44.8,-81.3,1
99,07/30/16,Toronto,ON,43.7,-79.4,2
100,07/30/16,Monroe Township,NJ,40.3,-74.4,1
101,07/30/16,Jefferson,TX,32.9,-94.3,1
102,07/30/16,Port Washington,WI,43.4,-87.9,1
103,07/30/16,Yarmouth,MA,41.7,-70.2,1
104,07/30/16,Minnetrista,MN,44.9,-93.7,1
105,07/30/16,Allenton,WI,43.4,-88.4,2
106,07/30/16,Watertown,SD,44.9,-97.1,1
107,07/30/16,Oakland,IA,41.3,-95.3,4
108,07/30/16,Greenwood,IN,39.6,-86.1,1
109,07/30/16,Jonesport,ME,44.5,-67.6,1
110,07/30/16,Lenexa,KS,39,-94.7,1
111,07/30/16,Brandt,SD,44.7,-96.6,2
112,07/30/16,Shakopee,MN,44.8,-93.5,1
113,07/30/16,Hardeeville,SC,32.2,-81.1,1
114,07/30/16,Bishop Hill,IL,41.2,-90.1,3
115,07/30/16,Salt Lake City,UT,40.7,-111.9,1
116,07/30/16,Portal,AZ,31.8,-109.1,1
117,07/30/16,Cambridge,WI,43,-89.1,1
118,07/30/16,Springerville,AZ,34.2,-109.3,1
119,07/30/16,Springerville,AZ,34,-109.2,8
120,07/29/16,Riverton,UT,40.5,-111.9,3
121,07/29/16,Springfield,VA,38.8,-77.2,1
122,07/29/16,Wrightstown,WI,44.3,-88.2,1
123,07/29/16,Medford,NJ,39.9,-74.9,1
124,07/29/16,Melrose,NY,42.8,-73.6,1
125,07/29/16,Groton,CT,41.3,-72.1,1
126,07/29/16,Minneapolis,MN,45,-93.2,1
127,07/29/16,Saint Paul,MN,45,-93.1,1
128,07/29/16,Saint Paul,MN,45,-93.1,1
129,07/29/16,Bowmanville,ON,43.9,-78.7,1
130,07/29/16,Wanatah,IN,41.4,-86.9,1
131,07/29/16,O'Fallon,MO,38.8,-90.7,1
132,07/29/16,Stoughton,MA,42.1,-71.1,1
133,07/29/16,Cincinnati,OH,39.3,-84.5,1
134,07/29/16,Mitchell,ON,43.4,-81,3
135,07/29/16,Kirkfield,ON,44.6,-79,1
136,07/29/16,North Logan,UT,41.8,-111.8,1
137,07/29/16,Logan,UT,41.7,-111.8,1
138,07/29/16,Chatham-Kent,ON,42.4,-82.2,1
139,07/29/16,Minneapolis,MN,45,-93.2,7
140,07/29/16,Richfield,MN,44.9,-93.3,2
141,07/29/16,Atco,NJ,39.8,-74.9,2
142,07/29/16,Atco,NJ,39.8,-74.9,2
143,07/29/16,Freeport,ME,43.8,-70.1,3
144,07/29/16,Traverse City,MI,44.8,-85.6,2
145,07/29/16,Casper,WY,42.9,-106.4,1
146,07/29/16,Boothbay,ME,43.9,-69.6,2
147,07/29/16,Scandia,MN,45.3,-92.8,3
148,07/29/16,Germfask,MI,46.3,-86,30
149,07/29/16,Selkirk,NY,42.5,-73.8,1
150,07/29/16,Mar,ON,44.8,-81.3,1
151,07/29/16,Oak Harbor,OH,41.5,-83.2,1
152,07/29/16,Charlotte,NC,35.2,-80.8,2
153,07/29/16,Cushing,ME,44,-69.3,2
154,07/29/16,Ajax,ON,43.9,-79,4
155,07/29/16,Indian Lake,NY,43.8,-74.3,1
156,07/29/16,Forks of Salmon,CA,41,-123,3
157,07/29/16,Mount Holly,VT,43.4,-72.8,3
158,07/29/16,Rocky Face,GA,34.8,-85,1
159,07/29/16,Perry Point,MD,39.6,-76.1,3
160,07/29/16,Rockvale,TN,35.8,-86.5,1
161,07/28/16,Eagleswood,NJ,39.6,-74.3,1
162,07/28/16,Emmaus,PA,40.5,-75.5,1
163,07/28/16,Galloway,NJ,39.5,-74.5,1
164,07/28/16,Lincoln,VT,44.1,-73,2
165,07/28/16,Princeton,ON,43.2,-80.5,1
166,07/28/16,Ames,IA,42,-93.6,1
167,07/28/16,Lewis Center,OH,40.1,-83,1
168,07/28/16,Newburgh,IN,37.9,-87.4,1
169,07/28/16,Poplar Grove,IL,42.4,-88.8,1
170,07/28/16,Durham,NH,43.1,-70.9,1
171,07/28/16,Allenton,WI,43.4,-88.4,1
172,07/28/16,Mitchell,ON,43.4,-81,1
173,07/28/16,Lebanon,CT,41.6,-72.2,1
174,07/28/16,Saratoga Springs,NY,43.1,-73.8,1
175,07/28/16,Quakertown,PA,40.4,-75.4,1
176,07/28/16,Senatobia,MS,34.6,-90,2
177,07/28/16,Roseville,MN,45,-93.2,1
178,07/28/16,Flagstaff,AZ,35.2,-111.6,1
179,07/28/16,South Kingstown,RI,41.4,-71.6,6
180,07/28/16,Athens,ON,44.6,-75.9,1
181,07/28/16,Lakeshore,ON,42.3,-82.8,1
182,07/28/16,Windsor,ON,42.3,-82.9,2
183,07/28/16,Oshawa,ON,43.9,-78.9,2
184,07/28/16,Welland,ON,43,-79.2,1
185,07/28/16,Chatham,MA,41.7,-70,1
186,07/28/16,Braidwood,IL,41.2,-88.2,1
187,07/28/16,Georgina,ON,44.2,-79.5,2
188,07/28/16,Espa̱ola,NM,36,-106.1,1
189,07/28/16,Cockeysville,MD,39.5,-76.6,1
190,07/28/16,Goshen,NY,41.3,-74.5,1
191,07/28/16,Berlin,MD,38.2,-75.2,4
192,07/28/16,Richmond,UT,41.9,-111.8,1
193,07/28/16,Ajax,ON,43.9,-79,1
194,07/28/16,Severn Bridge,ON,44.8,-79.4,1
195,07/28/16,Shakopee,MN,44.8,-93.5,1
196,07/28/16,Hudson,OH,41.2,-81.4,1
197,07/28/16,Winnetka,IL,42.1,-87.8,22
198,07/28/16,Olathe,KS,38.9,-94.8,1
199,07/28/16,Annandale,VA,38.8,-77.2,1
200,07/27/16,Westfield,IN,40,-86.1,1
201,07/27/16,Howell,MI,42.5,-84,1
202,07/27/16,Holland,MI,42.8,-86.2,1
203,07/27/16,Saint Paul,MN,44.9,-93.2,1
204,07/27/16,Richfield,MN,44.9,-93.3,4
205,07/27/16,Newport News,VA,37.1,-76.5,1
206,07/27/16,Minneapolis,MN,44.9,-93.3,1
207,07/27/16,Columbus,OH,40.1,-83,1
208,07/27/16,North Branford,CT,41.3,-72.8,1
209,07/27/16,Chatham-Kent,ON,42.4,-82.2,1
210,07/27/16,Macedonia,IA,41.2,-95.4,1
211,07/27/16,Oakland,IA,41.3,-95.4,1
212,07/27/16,Mitchell,ON,43.4,-81,1
213,07/27/16,Princeton,ON,43.2,-80.5,1
214,07/27/16,Franklin Park,IL,41.9,-87.9,1
215,07/27/16,Logan,UT,41.7,-111.8,1
216,07/27/16,Bridgeport,WA,48,-119.7,1
217,07/27/16,Herndon,VA,38.9,-77.4,2
218,07/27/16,Melrose,NY,42.8,-73.6,1
219,07/27/16,Orono,ME,44.9,-68.7,1
220,07/27/16,Thorndike,ME,44.6,-69.2,1
221,07/27/16,Lenexa,KS,39,-94.7,1
222,07/27/16,Stillman Valley,IL,42.1,-89.2,1
223,07/27/16,Mount Arlington,NJ,40.9,-74.6,1
224,07/27/16,Kelowna,BC,49.9,-119.4,1
225,07/27/16,Maumee,OH,41.6,-83.7,1
226,07/27/16,Nantucket,MA,41.3,-70.2,1
227,07/27/16,Zionsville,IN,40,-86.3,2
228,07/27/16,Shepherdstown,WV,39.4,-77.8,1
229,07/27/16,Livingston,MT,45.7,-110.5,2
230,07/27/16,Shakopee,MN,44.8,-93.5,1
231,07/27/16,,ON,45.2,-79.4,1
232,07/27/16,Arden,NC,35.5,-82.6,1
233,07/27/16,Rolla,MO,38,-91.8,2
234,07/27/16,Loveland,CO,40.4,-105.2,2
235,07/26/16,Richfield,MN,44.9,-93.3,2
236,07/26/16,Cody,WY,44.5,-109.1,6
237,07/26/16,Mer Rouge,LA,32.7,-91.7,3
238,07/26/16,New Brighton,MN,45,-93.2,1
239,07/26/16,Arden Hills,MN,45,-93.2,1
240,07/26/16,Ottawa,ON,45.4,-75.7,1
241,07/26/16,North Bay,ON,46.1,-79.5,1
242,07/26/16,Toronto,ON,43.8,-79.4,1
243,07/26/16,San Antonio,NM,33.8,-106.9,1
244,07/26/16,San Antonio,NM,33.8,-106.9,1
245,07/26/16,San Antonio,NM,33.8,-106.9,1
246,07/26/16,San Antonio,NM,33.8,-106.9,1
247,07/26/16,San Antonio,NM,33.8,-106.9,1
248,07/26/16,San Antonio,NM,33.8,-106.9,1
249,07/26/16,San Antonio,NM,33.8,-106.9,1
250,07/26/16,Toronto,ON,43.7,-79.4,1
251,07/26/16,Minneapolis,MN,44.9,-93.3,1
252,07/26/16,Burke,VA,38.8,-77.3,1
253,07/26/16,Mill Valley,CA,37.9,-122.5,1
254,07/26/16,Champaign,IL,40.1,-88.3,1
255,07/26/16,Urbana,IL,40.1,-88.2,2
256,07/26/16,Westbrook,ME,43.7,-70.4,1
257,07/26/16,Evanston,IL,42,-87.7,2
258,07/26/16,Chatham-Kent,ON,42.4,-82.2,1
259,07/26/16,Stoughton,MA,42.1,-71.1,1
260,07/26/16,Mitchell,ON,43.4,-81,2
261,07/26/16,Salem,WI,42.6,-88.1,1
262,07/26/16,Portsmouth,NH,43.1,-70.8,1
263,07/26/16,Lakewood,WI,45.3,-88.5,3
264,07/26/16,Allenton,WI,43.4,-88.4,1
265,07/26/16,Belvidere,IL,42.3,-88.9,3
266,07/26/16,Killarney,ON,46,-81.4,1
267,07/26/16,Stillwater,MN,45.1,-92.8,1
268,07/26/16,Islesboro,ME,44.3,-68.9,1
269,07/26/16,Blue Hill,ME,44.4,-68.6,1
270,07/26/16,Aurora,CO,39.7,-104.8,1
271,07/26/16,Liscomb,NS,45,-62,1
272,07/26/16,Downers Grove,IL,41.8,-88,1
273,07/26/16,Vergennes,VT,44.1,-73.2,1
274,07/26/16,Shakopee,MN,44.8,-93.5,1
275,07/26/16,Old Town,ME,44.9,-68.7,1
276,07/26/16,Huntingtown,MD,38.6,-76.7,1
277,07/26/16,Raleigh,NC,35.8,-78.7,1
278,07/26/16,Lake Mills,WI,43.1,-88.9,1
279,07/25/16,Wilkes-Barre,PA,41.3,-75.8,1
280,07/25/16,Southbury,CT,41.5,-73.2,1
281,07/25/16,Richfield,MN,44.9,-93.3,5
282,07/25/16,New Brighton,MN,45.1,-93.2,1
283,07/25/16,Saint Paul,MN,45.1,-93.2,1
